Diameter;Cap_Lid Diameter;CapType;Cap_Lid Style;Cap_Lid Material;CapTypeAndFinish
11;11;Spout;11 Noz (Tube Spout Cap);11 Noz (PP H713-06);Screw-on with smooth finish
19;19;Nozzle;19mm Lip Balm;PP;Screw-on with smooth finish
22;22;A;22A S/O (11/22);22A (PP H510_02);Screw-on with smooth finish
25;24;A;24A;24A (PP H510_02);Screw-on with smooth finish
25;25;A;25A;25A (PP H510_02);Screw-on with smooth finish
30;30;A;30A;30A (PP H510_02);Screw-on with smooth finish
35;30;A;30A;30A (PP H510_02);Screw-on with smooth finish
35;35;A;35A S/O (15/35);35A (PP H510_02);Screw-on with smooth finish
40;40;FT/SO;40 F/T S/O;40FT (PP H707_12);Screw-on with Flip Top
48;48;FT/SO;48/4 F/T S/O (22-48);48/4 (PP H707_12);Screw-on with Flip Top
50;50;A;50A S/O (22/50) SMOOTH;50A (PP H510_02);Screw-on with smooth finish
38;15/38;B;38B S/O (15/38);38B (PP 510_02);Screw-on with Texture finish
35;33;FT/BO;33F/T B/O (2mm Orifice);33F/T B/O (2mm Orifice) (ADVANCE150);Bump-on with Flip Top
35;33;FT/BO;33F/T B/O (4mm Orifice);33F/T B/O (4mm Orifice) (ADVANCE150);Bump-on with Flip Top
40;38;FT/BO;38 F/T B/O (2mm Orifice);38F/T B/O (2mm Orifice) (ADVANCE150);Bump-on with Flip Top
40;38;FT/BO;38 F/T B/O (4mm Orifice);38F/T B/O (4mm Orifice) (ADVANCE150);Bump-on with Flip Top
50;48;FT/BO;48F/T B/O (2mm orifice);48F/T B/O (2mm Orifice) (PP H713_06);Bump-on with Flip Top
50;48;FT/BO;48 F/T B/O (4mm orifice);48F/T B/O (4mm Orifice) (PP H713_06);Bump-on with Flip Top
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
